product,country,demand,shipped_qty,unmet_qty,unit_cost,cost_shipped,cost_unmet_penalty
Adult dog supplies,Afghanistan,1.0,0.0,1.0,1.158062285714286,0.0,1236.5803
Adult dog supplies,Australia,16.0,0.0,16.0,1.158062285714286,0.0,19785.2854
Adult dog supplies,Bangladesh,2.0,0.0,2.0,1.158062285714286,0.0,2473.1607
Adult dog supplies,China,12.0,0.0,12.0,1.158062285714286,0.0,14838.9641
Adult dog supplies,India,11.0,0.0,11.0,1.158062285714286,0.0,13602.3837
Adult dog supplies,Indonesia,17.0,17.0,0.0,1.158062285714286,19.6871,0.0
Adult dog supplies,Japan,3.0,0.0,3.0,1.158062285714286,0.0,3709.741
Adult dog supplies,Myanmar,2.0,0.0,2.0,1.158062285714286,0.0,2473.1607
Adult dog supplies,Pakistan,2.0,0.0,2.0,1.158062285714286,0.0,2473.1607
Adult dog supplies,Philippines,6.0,6.0,0.0,1.158062285714286,6.9484,0.0
Adult dog supplies,Singapore,3.0,3.0,0.0,1.158062285714286,3.4742,0.0
Baby sweater,France,6.0,6.0,0.0,1.1713094285714285,7.0279,0.0
Baby sweater,Germany,8.0,8.0,0.0,1.1713094285714285,9.3705,0.0
Baby sweater,Ireland,1.0,1.0,0.0,1.1713094285714285,1.1713,0.0
Baby sweater,Italy,9.0,9.0,0.0,1.1713094285714285,10.5418,0.0
Baby sweater,Netherlands,1.0,1.0,0.0,1.1713094285714285,1.1713,0.0
Baby sweater,Spain,3.0,3.0,0.0,1.1713094285714285,3.5139,0.0
Baby sweater,United Kingdom,9.0,9.0,0.0,1.1713094285714285,10.5418,0.0
Bag Boy Beverage Holder,Argentina,1.0,1.0,0.0,1.2985072222222223,1.2985,0.0
Bag Boy Beverage Holder,Belgium,2.0,2.0,0.0,1.2985072222222223,2.597,0.0
Bag Boy Beverage Holder,Brazil,11.0,11.0,0.0,1.2985072222222223,14.2836,0.0
Bag Boy Beverage Holder,China,22.0,22.0,0.0,1.2985072222222223,28.5672,0.0
Bag Boy Beverage Holder,Cote d�Ivoire,1.0,1.0,0.0,1.2985072222222223,1.2985,0.0
Bag Boy Beverage Holder,Cuba,3.0,3.0,0.0,1.2985072222222223,3.8955,0.0
Bag Boy Beverage Holder,Dominican�Republic,8.0,8.0,0.0,1.2985072222222223,10.3881,0.0
Bag Boy Beverage Holder,El Salvador,5.0,5.0,0.0,1.2985072222222223,6.4925,0.0
Bag Boy Beverage Holder,France,2.0,2.0,0.0,1.2985072222222223,2.597,0.0
Bag Boy Beverage Holder,Gabon,1.0,1.0,0.0,1.2985072222222223,1.2985,0.0
Bag Boy Beverage Holder,Germany,5.0,5.0,0.0,1.2985072222222223,6.4925,0.0
Bag Boy Beverage Holder,Guatemala,9.0,9.0,0.0,1.2985072222222223,11.6866,0.0
Bag Boy Beverage Holder,Honduras,3.0,3.0,0.0,1.2985072222222223,3.8955,0.0
Bag Boy Beverage Holder,India,2.0,2.0,0.0,1.2985072222222223,2.597,0.0
Bag Boy Beverage Holder,Indonesia,3.0,3.0,0.0,1.2985072222222223,3.8955,0.0
Bag Boy Beverage Holder,Italy,1.0,1.0,0.0,1.2985072222222223,1.2985,0.0
Bag Boy Beverage Holder,Madagascar,2.0,2.0,0.0,1.2985072222222223,2.597,0.0
Bag Boy Beverage Holder,Mexico,14.0,14.0,0.0,1.2985072222222223,18.1791,0.0
Bag Boy Beverage Holder,Nigeria,5.0,5.0,0.0,1.2985072222222223,6.4925,0.0
Bag Boy Beverage Holder,Panama,4.0,4.0,0.0,1.2985072222222223,5.194,0.0
Bag Boy Beverage Holder,Philippines,4.0,4.0,0.0,1.2985072222222223,5.194,0.0
Bag Boy Beverage Holder,South Africa,2.0,2.0,0.0,1.2985072222222223,2.597,0.0
Bag Boy Beverage Holder,USA,32.0,32.0,0.0,1.2985072222222223,41.5522,0.0
Bag Boy Beverage Holder,United Kingdom,8.0,8.0,0.0,1.2985072222222223,10.3881,0.0
Bag Boy M330 Push Cart,Austria,3.0,3.0,0.0,1.2758766666666665,3.8276,0.0
Bag Boy M330 Push Cart,Brazil,3.0,3.0,0.0,1.2758766666666665,3.8276,0.0
Bag Boy M330 Push Cart,Dominican�Republic,1.0,1.0,0.0,1.2758766666666665,1.2759,0.0
Bag Boy M330 Push Cart,Germany,9.0,9.0,0.0,1.2758766666666665,11.4829,0.0
Bag Boy M330 Push Cart,Italy,1.0,1.0,0.0,1.2758766666666665,1.2759,0.0
Bag Boy M330 Push Cart,Mexico,4.0,4.0,0.0,1.2758766666666665,5.1035,0.0
Bag Boy M330 Push Cart,Netherlands,5.0,5.0,0.0,1.2758766666666665,6.3794,0.0
Bag Boy M330 Push Cart,United Kingdom,5.0,5.0,0.0,1.2758766666666665,6.3794,0.0
Bridgestone e6 Straight Distance NFL Carolina,Algeria�,2.0,2.0,0.0,1.2238533333333335,2.4477,0.0
Bridgestone e6 Straight Distance NFL Carolina,Australia,5.0,5.0,0.0,1.2238533333333335,6.1193,0.0
Bridgestone e6 Straight Distance NFL Carolina,Brazil,2.0,2.0,0.0,1.2238533333333335,2.4477,0.0
Bridgestone e6 Straight Distance NFL Carolina,China,3.0,3.0,0.0,1.2238533333333335,3.6716,0.0
Bridgestone e6 Straight Distance NFL Carolina,Colombia,7.0,7.0,0.0,1.2238533333333335,8.567,0.0
Bridgestone e6 Straight Distance NFL Carolina,Cuba,1.0,1.0,0.0,1.2238533333333335,1.2239,0.0
Bridgestone e6 Straight Distance NFL Carolina,Dominican�Republic,4.0,4.0,0.0,1.2238533333333335,4.8954,0.0
Bridgestone e6 Straight Distance NFL Carolina,France,7.0,7.0,0.0,1.2238533333333335,8.567,0.0
Bridgestone e6 Straight Distance NFL Carolina,Ghana,1.0,1.0,0.0,1.2238533333333335,1.2239,0.0
Bridgestone e6 Straight Distance NFL Carolina,Haiti,1.0,1.0,0.0,1.2238533333333335,1.2239,0.0
Bridgestone e6 Straight Distance NFL Carolina,Honduras,2.0,2.0,0.0,1.2238533333333335,2.4477,0.0
Bridgestone e6 Straight Distance NFL Carolina,India,3.0,3.0,0.0,1.2238533333333335,3.6716,0.0
Bridgestone e6 Straight Distance NFL Carolina,Iran,6.0,6.0,0.0,1.2238533333333335,7.3431,0.0
Bridgestone e6 Straight Distance NFL Carolina,Jamaica,1.0,1.0,0.0,1.2238533333333335,1.2239,0.0
Bridgestone e6 Straight Distance NFL Carolina,Mali,4.0,4.0,0.0,1.2238533333333335,4.8954,0.0
Bridgestone e6 Straight Distance NFL Carolina,Mexico,13.0,13.0,0.0,1.2238533333333335,15.9101,0.0
Bridgestone e6 Straight Distance NFL Carolina,Morocco,5.0,5.0,0.0,1.2238533333333335,6.1193,0.0
Bridgestone e6 Straight Distance NFL Carolina,Netherlands,5.0,5.0,0.0,1.2238533333333335,6.1193,0.0
Bridgestone e6 Straight Distance NFL Carolina,New zealand,2.0,2.0,0.0,1.2238533333333335,2.4477,0.0
Bridgestone e6 Straight Distance NFL Carolina,Nicaragua,4.0,4.0,0.0,1.2238533333333335,4.8954,0.0
Bridgestone e6 Straight Distance NFL Carolina,Nigeria,4.0,4.0,0.0,1.2238533333333335,4.8954,0.0
Bridgestone e6 Straight Distance NFL Carolina,Panama,4.0,4.0,0.0,1.2238533333333335,4.8954,0.0
Bridgestone e6 Straight Distance NFL Carolina,Russia,2.0,2.0,0.0,1.2238533333333335,2.4477,0.0
Bridgestone e6 Straight Distance NFL Carolina,Switzerland,5.0,5.0,0.0,1.2238533333333335,6.1193,0.0
Bridgestone e6 Straight Distance NFL Carolina,Turkey,5.0,5.0,0.0,1.2238533333333335,6.1193,0.0
Bridgestone e6 Straight Distance NFL Carolina,USA,35.0,35.0,0.0,1.2238533333333335,42.8349,0.0
Bridgestone e6 Straight Distance NFL San Dieg,Australia,11.0,11.0,0.0,1.2579444444444445,13.8374,0.0
Bridgestone e6 Straight Distance NFL San Dieg,Ben�n,5.0,5.0,0.0,1.2579444444444445,6.2897,0.0
Bridgestone e6 Straight Distance NFL San Dieg,Brazil,11.0,11.0,0.0,1.2579444444444445,13.8374,0.0
Bridgestone e6 Straight Distance NFL San Dieg,China,5.0,5.0,0.0,1.2579444444444445,6.2897,0.0
Bridgestone e6 Straight Distance NFL San Dieg,Colombia,4.0,4.0,0.0,1.2579444444444445,5.0318,0.0
Bridgestone e6 Straight Distance NFL San Dieg,Dominican�Republic,5.0,5.0,0.0,1.2579444444444445,6.2897,0.0
Bridgestone e6 Straight Distance NFL San Dieg,Egypt,4.0,4.0,0.0,1.2579444444444445,5.0318,0.0
Bridgestone e6 Straight Distance NFL San Dieg,France,2.0,2.0,0.0,1.2579444444444445,2.5159,0.0
Bridgestone e6 Straight Distance NFL San Dieg,Germany,5.0,0.0,5.0,1.2579444444444445,0.0,6182.9017
Bridgestone e6 Straight Distance NFL San Dieg,Guatemala,3.0,0.0,3.0,1.2579444444444445,0.0,3709.741
Bridgestone e6 Straight Distance NFL San Dieg,Honduras,6.0,3.0,3.0,1.2579444444444445,3.7738,3709.741
Bridgestone e6 Straight Distance NFL San Dieg,India,4.0,4.0,0.0,1.2579444444444445,5.0318,0.0
Bridgestone e6 Straight Distance NFL San Dieg,Iran,5.0,5.0,0.0,1.2579444444444445,6.2897,0.0
