product,supply_capacity,total_shipped,utilization_pct,unit_cost
Adult dog supplies,26.0,26.0,100.0,1.158062285714286
Baby sweater,43.0,37.0,86.0465,1.1713094285714285
Bag Boy Beverage Holder,154.0,150.0,97.4026,1.2985072222222223
Bag Boy M330 Push Cart,31.0,31.0,100.0,1.2758766666666665
Bowflex SelectTech 1090 Dumbbells,811.0,0.0,0.0,1.490767142857143
Bridgestone e6 Straight Distance NFL Carolina,159.0,133.0,83.6478,1.2238533333333335
Bridgestone e6 Straight Distance NFL San Dieg,104.0,104.0,100.0,1.2579444444444445
Bridgestone e6 Straight Distance NFL Tennesse,92.0,92.0,100.0,1.246893611111111
Brooks Women's Ghost 6 Running Shoe,34.0,34.0,100.0,1.2614437142857144
Bushnell Pro X7 Jolt Slope Rangefinder,693.0,0.0,0.0,1.2457934285714285
CDs of rock,49.0,49.0,100.0,1.3319185714285715
Children's heaters,6.0,6.0,100.0,1.1102008571428572
Cleveland Golf Collegiate My Custom Wedge 588,13.0,11.0,84.6154,1.366672
Cleveland Golf Women's 588 RTX CB Satin Chrom,7.0,6.0,85.7143,1.2692748571428571
Clicgear 8.0 Shoe Brush,161.0,131.0,81.3665,1.2274727777777779
Clicgear Rovic Cooler Bag,134.0,134.0,100.0,1.2835019444444444
Columbia Men's PFG Anchor Tough T-Shirt,188.0,146.0,77.6596,1.0987825
DVDs,153.0,122.0,79.7386,1.2974897142857142
Dell Laptop,679.0,0.0,0.0,1.4614354285714284
Diamondback Boys' Insight 24 Performance Hybr,4.0,3.0,75.0,1.2723
Diamondback Girls' Clarity 24 Hybrid Bike 201,2.0,2.0,100.0,1.1443814285714287
Diamondback Women's Serene Classic Comfort Bi,2458.0,2427.0,98.7388,1.1341591666666666
ENO Atlas Hammock Straps,155.0,147.0,94.8387,1.3030308333333334
Elevation Training Mask 2.0,41.0,38.0,92.6829,1.3003794285714285
Field & Stream Sportsman 16 Gun Fire Safe,2630.0,2630.0,100.0,1.3907166666666668
Fighting video games,27.0,27.0,100.0,1.1261748571428571
First aid kit,18.0,18.0,100.0,1.18583
Fitbit The One Wireless Activity & Sleep Trac,30.0,30.0,100.0,1.220206857142857
Garmin Approach S3 Golf GPS Watch,10.0,10.0,100.0,1.2401752777777777
Garmin Approach S4 Golf GPS Watch,2.0,2.0,100.0,1.271405142857143
Garmin Forerunner 910XT GPS Watch,4.0,4.0,100.0,0.9157814285714286
Glove It Imperial Golf Towel,167.0,155.0,92.8144,1.1205308333333333
Glove It Urban Brick Golf Towel,150.0,150.0,100.0,1.2331433333333335
Glove It Women's Imperial Golf Glove,139.0,132.0,94.964,1.1997511111111112
Glove It Women's Mod Oval 3-Zip Carry All Gol,222.0,193.0,86.9369,1.1943283333333334
Glove It Women's Mod Oval Golf Glove,147.0,147.0,100.0,1.2985094444444445
GoPro HERO3+ Black Edition Camera,1.0,1.0,100.0,1.3030751428571428
GolfBuddy VT3 GPS Watch,7.0,7.0,100.0,1.3478386111111111
Hirzl Men's Hybrid Golf Glove,127.0,127.0,100.0,1.4134533333333335
Hirzl Women's Hybrid Golf Glove,163.0,151.0,92.638,1.3079594444444445
Hirzl Women's Soffft Flex Golf Glove,115.0,105.0,91.3043,1.3313205555555556
